Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 22",face,"I face the mirror",,"한글 번역 없음"
"Day 22",face,"face the audience",,"한글 번역 없음"
"Day 22",face,"face the camera",,"한글 번역 없음"
"Day 22",face,"face the crowd",,"한글 번역 없음"
"Day 22",face,"face the front",,"한글 번역 없음"
"Day 22",face,"face the mirror",,"한글 번역 없음"
"Day 22",face,"face the wall",,"한글 번역 없음"
"Day 22",face,"face the window",,"한글 번역 없음"
"Day 22",choose,"I choose the green shirt",,"한글 번역 없음"
"Day 22",choose,"choose the clothes",,"한글 번역 없음"
"Day 22",choose,"choose the color",,"한글 번역 없음"
"Day 22",choose,"choose the design",,"한글 번역 없음"
"Day 22",choose,"choose the food",,"한글 번역 없음"
"Day 22",choose,"choose the fruit",,"한글 번역 없음"
"Day 22",choose,"choose the menu",,"한글 번역 없음"
"Day 22",choose,"choose the shirt",,"한글 번역 없음"
"Day 22",smile,"I smile brightly",,"한글 번역 없음"
"Day 22",smile,"smile brightly",,"한글 번역 없음"
"Day 22",smile,"smile gently",,"한글 번역 없음"
"Day 22",smile,"smile happily",,"한글 번역 없음"
"Day 22",smile,"smile kindly",,"한글 번역 없음"
"Day 22",smile,"smile proudly",,"한글 번역 없음"
"Day 22",smile,"smile quietly",,"한글 번역 없음"
"Day 22",smile,"smile sweetly",,"한글 번역 없음"
"Day 23","button up","I button up my shirt",,"한글 번역 없음"
"Day 23","button up","button up the blouse",,"한글 번역 없음"
"Day 23","button up","button up the coat",,"한글 번역 없음"
"Day 23","button up","button up the jacket",,"한글 번역 없음"
"Day 23","button up","button up the pants",,"한글 번역 없음"
"Day 23","button up","button up the shirt",,"한글 번역 없음"
"Day 23","button up","button up the suit",,"한글 번역 없음"
"Day 23","button up","button up the trousers",,"한글 번역 없음"
"Day 23",wear,"I wear my pants",,"한글 번역 없음"
"Day 23",wear,"wear the clothes",,"한글 번역 없음"
"Day 23",wear,"wear the coat",,"한글 번역 없음"
"Day 23",wear,"wear the dress",,"한글 번역 없음"
"Day 23",wear,"wear the pants",,"한글 번역 없음"
"Day 23",wear,"wear the shirt",,"한글 번역 없음"
"Day 23",wear,"wear the suit",,"한글 번역 없음"
"Day 23",wear,"wear the uniform",,"한글 번역 없음"
"Day 23",get,"I get dressed",,"한글 번역 없음"
"Day 23",get,"get closed",,"한글 번역 없음"
"Day 23",get,"get dressed",,"한글 번역 없음"
"Day 23",get,"get finished",,"한글 번역 없음"
"Day 23",get,"get married",,"한글 번역 없음"
"Day 23",get,"get opened",,"한글 번역 없음"
"Day 23",get,"get started",,"한글 번역 없음"
"Day 23",get,"get undressed",,"한글 번역 없음"
"Day 24","care for","I care for my hair",,"한글 번역 없음"
"Day 24","care for","care for the animal",,"한글 번역 없음"
"Day 24","care for","care for the child",,"한글 번역 없음"
"Day 24","care for","care for the face",,"한글 번역 없음"
"Day 24","care for","care for the hair",,"한글 번역 없음"
"Day 24","care for","care for the health",,"한글 번역 없음"
"Day 24","care for","care for the skin",,"한글 번역 없음"
"Day 24","care for","care for the teeth",,"한글 번역 없음"
"Day 24",tie,"I tie my hair",,"한글 번역 없음"
"Day 24",tie,"tie the bag",,"한글 번역 없음"
"Day 24",tie,"tie the ends",,"한글 번역 없음"
"Day 24",tie,"tie the hair",,"한글 번역 없음"
"Day 24",tie,"tie the package",,"한글 번역 없음"
"Day 24",tie,"tie the ribbon",,"한글 번역 없음"
"Day 24",tie,"tie the shoelaces",,"한글 번역 없음"
"Day 24",tie,"tie the string",,"한글 번역 없음"
"Day 24",pack,"I pack my bag",,"한글 번역 없음"
"Day 24",pack,"pack the bag",,"한글 번역 없음"
"Day 24",pack,"pack the box",,"한글 번역 없음"
"Day 24",pack,"pack the clothes",,"한글 번역 없음"
"Day 24",pack,"pack the food",,"한글 번역 없음"
"Day 24",pack,"pack the luggage",,"한글 번역 없음"
"Day 24",pack,"pack the suitcase",,"한글 번역 없음"
"Day 24",pack,"pack the trunk",,"한글 번역 없음"
"Day 25",protect,"I protect my eyes",,"한글 번역 없음"
"Day 25",protect,"protect the animals",,"한글 번역 없음"
"Day 25",protect,"protect the body",,"한글 번역 없음"
"Day 25",protect,"protect the earth",,"한글 번역 없음"
"Day 25",protect,"protect the eyes",,"한글 번역 없음"
"Day 25",protect,"protect the head",,"한글 번역 없음"
"Day 25",protect,"protect the plants",,"한글 번역 없음"
"Day 25",protect,"protect the skin",,"한글 번역 없음"
"Day 25",block,"I block the sun",,"한글 번역 없음"
"Day 25",block,"block the entrance",,"한글 번역 없음"
"Day 25",block,"block the exit",,"한글 번역 없음"
"Day 25",block,"block the light",,"한글 번역 없음"
"Day 25",block,"block the sight",,"한글 번역 없음"
"Day 25",block,"block the sun",,"한글 번역 없음"
"Day 25",block,"block the traffic",,"한글 번역 없음"
"Day 25",block,"block the way",,"한글 번역 없음"
"Day 25",leave,"I leave the house",,"한글 번역 없음"
"Day 25",leave,"leave the city",,"한글 번역 없음"
"Day 25",leave,"leave the country",,"한글 번역 없음"
"Day 25",leave,"leave the house",,"한글 번역 없음"
"Day 25",leave,"leave the room",,"한글 번역 없음"
"Day 25",leave,"leave the school",,"한글 번역 없음"
"Day 25",leave,"leave the table",,"한글 번역 없음"
"Day 25",leave,"leave the team",,"한글 번역 없음"
"Day 26","look at","I look at the sky",,"한글 번역 없음"
"Day 26","look at","look at the board",,"한글 번역 없음"
"Day 26","look at","look at the carmera",,"한글 번역 없음"
"Day 26","look at","look at the flower",,"한글 번역 없음"
"Day 26","look at","look at the front",,"한글 번역 없음"
"Day 26","look at","look at the menu",,"한글 번역 없음"
"Day 26","look at","look at the sky",,"한글 번역 없음"
"Day 26","look at","look at the street",,"한글 번역 없음"
"Day 26",be,"I am happy",,"한글 번역 없음"
"Day 26",be,"be bad",,"한글 번역 없음"
"Day 26",be,"be fine",,"한글 번역 없음"
"Day 26",be,"be glad",,"한글 번역 없음"
"Day 26",be,"be good",,"한글 번역 없음"
"Day 26",be,"be happy",,"한글 번역 없음"
"Day 26",be,"be sad",,"한글 번역 없음"
"Day 26",be,"be unhappy",,"한글 번역 없음"
"Day 26",like,"I like the sky",,"한글 번역 없음"
"Day 26",like,"like the dance",,"한글 번역 없음"
"Day 26",like,"like the movie",,"한글 번역 없음"
"Day 26",like,"like the picture",,"한글 번역 없음"
"Day 26",like,"like the rain",,"한글 번역 없음"
"Day 26",like,"like the sky",,"한글 번역 없음"
"Day 26",like,"like the sun",,"한글 번역 없음"
"Day 26",like,"like the wind",,"한글 번역 없음"
"Day 27",pass,"I pass the park",,"한글 번역 없음"
"Day 27",pass,"pass the bank",,"한글 번역 없음"
"Day 27",pass,"pass the hospital",,"한글 번역 없음"
"Day 27",pass,"pass the hotel",,"한글 번역 없음"
"Day 27",pass,"pass the museum",,"한글 번역 없음"
"Day 27",pass,"pass the park",,"한글 번역 없음"
"Day 27",pass,"pass the port",,"한글 번역 없음"
"Day 27",pass,"pass the shop",,"한글 번역 없음"
"Day 27",climb,"I climb the hill",,"한글 번역 없음"
"Day 27",climb,"climb the hill",,"한글 번역 없음"
"Day 27",climb,"climb the ladder",,"한글 번역 없음"
"Day 27",climb,"climb the rock",,"한글 번역 없음"
"Day 27",climb,"climb the rope",,"한글 번역 없음"
"Day 27",climb,"climb the stairs",,"한글 번역 없음"
"Day 27",climb,"climb the steps",,"한글 번역 없음"
"Day 27",climb,"climb the tree",,"한글 번역 없음"
"Day 27",take,"I take a deep breath",,"한글 번역 없음"
"Day 27",take,"take a break",,"한글 번역 없음"
"Day 27",take,"take a breath",,"한글 번역 없음"
"Day 27",take,"take a nap",,"한글 번역 없음"
"Day 27",take,"take a pause",,"한글 번역 없음"
"Day 27",take,"take a recess",,"한글 번역 없음"
"Day 27",take,"take a rest",,"한글 번역 없음"
"Day 27",take,"take a sleep",,"한글 번역 없음"
"Day 28",obey,"I obey the rule",,"한글 번역 없음"
"Day 28",obey,"obey the command",,"한글 번역 없음"
"Day 28",obey,"obey the decision",,"한글 번역 없음"
"Day 28",obey,"obey the instruction",,"한글 번역 없음"
"Day 28",obey,"obey the law",,"한글 번역 없음"
"Day 28",obey,"obey the order",,"한글 번역 없음"
"Day 28",obey,"obey the rule",,"한글 번역 없음"
"Day 28",obey,"obey the sign",,"한글 번역 없음"
"Day 28",cross,"I cross the street",,"한글 번역 없음"
"Day 28",cross,"cross the border",,"한글 번역 없음"
"Day 28",cross,"cross the bridge",,"한글 번역 없음"
"Day 28",cross,"cross the crosswalk",,"한글 번역 없음"
"Day 28",cross,"cross the line",,"한글 번역 없음"
"Day 28",cross,"cross the river",,"한글 번역 없음"
"Day 28",cross,"cross the road",,"한글 번역 없음"
"Day 28",cross,"cross the street",,"한글 번역 없음"
"Day 28",use,"I use the stairs",,"한글 번역 없음"
"Day 28",use,"use the bus",,"한글 번역 없음"
"Day 28",use,"use the car",,"한글 번역 없음"
"Day 28",use,"use the elevator",,"한글 번역 없음"
"Day 28",use,"use the escalator",,"한글 번역 없음"
"Day 28",use,"use the stairs",,"한글 번역 없음"
"Day 28",use,"use the subway",,"한글 번역 없음"
"Day 28",use,"use the train",,"한글 번역 없음"
"Day 29",see,"I see the park",,"한글 번역 없음"
"Day 29",see,"see the cat",,"한글 번역 없음"
"Day 29",see,"see the dog",,"한글 번역 없음"
"Day 29",see,"see the garden",,"한글 번역 없음"
"Day 29",see,"see the light",,"한글 번역 없음"
"Day 29",see,"see the moon",,"한글 번역 없음"
"Day 29",see,"see the park",,"한글 번역 없음"
"Day 29",see,"see the sun",,"한글 번역 없음"
"Day 29","listen to","I listen to the wind",,"한글 번역 없음"
"Day 29","listen to","listen to the alarm",,"한글 번역 없음"
"Day 29","listen to","listen to the message",,"한글 번역 없음"
"Day 29","listen to","listen to the noise",,"한글 번역 없음"
"Day 29","listen to","listen to the rain",,"한글 번역 없음"
"Day 29","listen to","listen to the sound",,"한글 번역 없음"
"Day 29","listen to","listen to the speech",,"한글 번역 없음"
"Day 29","listen to","listen to the wind",,"한글 번역 없음"
"Day 29",imagine,"I imagine my future",,"한글 번역 없음"
"Day 29",imagine,"imagine the dream",,"한글 번역 없음"
"Day 29",imagine,"imagine the future",,"한글 번역 없음"
"Day 29",imagine,"imagine the life",,"한글 번역 없음"
"Day 29",imagine,"imagine the picture",,"한글 번역 없음"
"Day 29",imagine,"imagine the possibility",,"한글 번역 없음"
"Day 29",imagine,"imagine the surprise",,"한글 번역 없음"
"Day 29",imagine,"imagine the world",,"한글 번역 없음"
"Day 30","arrive at","I arrive at school",,"한글 번역 없음"
"Day 30","arrive at","arrive at home",,"한글 번역 없음"
"Day 30","arrive at","arrive at school",,"한글 번역 없음"
"Day 30","arrive at","arrive at the airport",,"한글 번역 없음"
"Day 30","arrive at","arrive at the gate",,"한글 번역 없음"
"Day 30","arrive at","arrive at the hotel",,"한글 번역 없음"
"Day 30","arrive at","arrive at the station",,"한글 번역 없음"
"Day 30","arrive at","arrive at work",,"한글 번역 없음"
"Day 30","come to","I come to class",,"한글 번역 없음"
"Day 30","come to","come to church",,"한글 번역 없음"
"Day 30","come to","come to class",,"한글 번역 없음"
"Day 30","come to","come to school",,"한글 번역 없음"
"Day 30","come to","come to the concert.png",,"한글 번역 없음"
"Day 30","come to","come to the meeting",,"한글 번역 없음"
"Day 30","come to","come to the party",,"한글 번역 없음"
"Day 30","come to","come to the stage",,"한글 번역 없음"
"Day 30","bow to","I bow to the teacher",,"한글 번역 없음"
"Day 30","bow to","bow to each other",,"한글 번역 없음"
"Day 30","bow to","bow to the audience",,"한글 번역 없음"
"Day 30","bow to","bow to the fan",,"한글 번역 없음"
"Day 30","bow to","bow to the friend",,"한글 번역 없음"
"Day 30","bow to","bow to the guest",,"한글 번역 없음"
"Day 30","bow to","bow to the parent",,"한글 번역 없음"
"Day 30","bow to","bow to the teacher",,"한글 번역 없음"
"Day 31",place,"I place my bag",,"한글 번역 없음"
"Day 31",place,"place the bag",,"한글 번역 없음"
"Day 31",place,"place the book",,"한글 번역 없음"
"Day 31",place,"place the box",,"한글 번역 없음"
"Day 31",place,"place the pot",,"한글 번역 없음"
"Day 31",place,"place the shoes",,"한글 번역 없음"
"Day 31",place,"place the spoon",,"한글 번역 없음"
"Day 31",place,"place the table",,"한글 번역 없음"
"Day 31",pick,"I pick the book",,"한글 번역 없음"
"Day 31",pick,"pick the best",,"한글 번역 없음"
"Day 31",pick,"pick the book",,"한글 번역 없음"
"Day 31",pick,"pick the card",,"한글 번역 없음"
"Day 31",pick,"pick the dress",,"한글 번역 없음"
"Day 31",pick,"pick the number",,"한글 번역 없음"
"Day 31",pick,"pick the winner",,"한글 번역 없음"
"Day 31",pick,"pick the word",,"한글 번역 없음"
"Day 31",read,"I read the story",,"한글 번역 없음"
"Day 31",read,"read the article",,"한글 번역 없음"
"Day 31",read,"read the column",,"한글 번역 없음"
"Day 31",read,"read the letter",,"한글 번역 없음"
"Day 31",read,"read the message",,"한글 번역 없음"
"Day 31",read,"read the news",,"한글 번역 없음"
"Day 31",read,"read the newspaper",,"한글 번역 없음"
"Day 31",read,"read the story",,"한글 번역 없음"
"Day 32",pay,"I pay attention",,"한글 번역 없음"
"Day 32",pay,"pay a call",,"한글 번역 없음"
"Day 32",pay,"pay a compliment",,"한글 번역 없음"
"Day 32",pay,"pay a tribute",,"한글 번역 없음"
"Day 32",pay,"pay a visit",,"한글 번역 없음"
"Day 32",pay,"pay attention",,"한글 번역 없음"
"Day 32",pay,"pay respect",,"한글 번역 없음"
"Day 32",pay,"pay reverence",,"한글 번역 없음"
"Day 32",study,"I study the case",,"한글 번역 없음"
"Day 32",study,"study the case",,"한글 번역 없음"
"Day 32",study,"study the climate",,"한글 번역 없음"
"Day 32",study,"study the cosmos",,"한글 번역 없음"
"Day 32",study,"study the effect",,"한글 번역 없음"
"Day 32",study,"study the moon",,"한글 번역 없음"
"Day 32",study,"study the report",,"한글 번역 없음"
"Day 32",study,"study the subject",,"한글 번역 없음"
"Day 32",understand,"I understand the context",,"한글 번역 없음"
"Day 32",understand,"understand the concept",,"한글 번역 없음"
"Day 32",understand,"understand the context",,"한글 번역 없음"
"Day 32",understand,"understand the conversation",,"한글 번역 없음"
"Day 32",understand,"understand the message",,"한글 번역 없음"
"Day 32",understand,"understand the sentence",,"한글 번역 없음"
"Day 32",understand,"understand the text",,"한글 번역 없음"
"Day 32",understand,"understand the word",,"한글 번역 없음"
"Day 33",make,"I make a sentence",,"한글 번역 없음"
"Day 33",make,"make a law",,"한글 번역 없음"
